"id","marketSlug","detectedAt","eventType","severity","detail","is_true_positive","verification_notes"
"648","presidential-election-winner-2024","2024-10-21 16:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.625, 'window': 30, 'z_score': 2.493900164390659, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"647","presidential-election-winner-2024","2024-10-21 14:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6225, 'window': 30, 'z_score': 2.7471734439403828, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"646","presidential-election-winner-2024","2024-10-20 04:00:02+00:00","zscore_spike_manual","high","{'mode': 'manual_sql', 'price': 0.563, 'window': 30, 'z_score': -5.057450602346251, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","true","自动预标注：极端异常（|z|>=5），且本地未匹配公开事件窗口。人工复核结论：判定为 TRUE，建议优先开展链上资金流与地址关联核验。"
"645","presidential-election-winner-2024","2024-10-20 03:00:02+00:00","zscore_spike_manual","high","{'mode': 'manual_sql', 'price': 0.5905, 'window': 30, 'z_score': -4.0589182181044, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：高异常区间（|z|在[4,5)），需人工复核后定性。人工复核结论：按保守策略判定为 FALSE（缺少链上资金流/地址关联佐证）。"
"644","presidential-election-winner-2024","2024-10-17 14:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6235, 'window': 30, 'z_score': 2.910955858712264, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"643","presidential-election-winner-2024","2024-10-17 12:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6125, 'window': 30, 'z_score': 2.702829823151673, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"642","presidential-election-winner-2024","2024-10-16 12:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.6005, 'window': 30, 'z_score': 1.963319820073608, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"641","presidential-election-winner-2024","2024-10-16 11:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.5995, 'window': 30, 'z_score': 2.0376328175913145, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"640","presidential-election-winner-2024","2024-10-16 10:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.5965, 'window': 30, 'z_score': 1.9659326173581988, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"639","presidential-election-winner-2024","2024-10-15 22:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.577, 'window': 30, 'z_score': 1.3532712742404691, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"638","presidential-election-winner-2024","2024-10-15 21:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.5785, 'window': 30, 'z_score': 1.5564684540185112, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"637","presidential-election-winner-2024","2024-10-15 20:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.5805, 'window': 30, 'z_score': 1.8124899208571494, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"636","presidential-election-winner-2024","2024-10-15 19:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.5795, 'window': 30, 'z_score': 1.8779726270882087, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
